MOSC  1nmF LATITUDE    55.47     LONGITUDE     37.32     ALTITUDE    200 M
MOSC  1nmF INSTRUMENT   01nmF    NEUTRON MONITOR (B10 counter,without Lead)	
MOSC  1nmF STANDARD PRESSURE    999.1   mb     COEFFICIENT   -0.71     % / mb
MOSC  1nmF PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
MOSC  1nmF PRE-INCREASE AVERAGE COUNTING RATE      2.45      COUNTS PER SECOND
MOSC  1nmF TIME INTERVALS    300         3600     
MOSC  1nmF SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MOSC  1nmF 061213 3600 130000-140000   00       2.48  996.4      2.43    -0.73    -9999
MOSC  1nmF 061213 3600 140000-150000   00       2.51  996.2      2.46     0.25    -9999
MOSC  1nmF 061213 3600 150000-160000   00       2.49  995.9      2.44    -0.45    -9999
MOSC  1nmF 061213 3600 160000-170000   00       2.48  995.6      2.42    -1.24    -9999
MOSC  1nmF 061213 3600 170000-180000   00       2.44  995.3      2.38    -2.98    -9999
MOSC  1nmF 061213 3600 180000-190000   00       2.48  995.2      2.41    -1.64    -9999
MOSC  1nmF 061213 3600 190000-200000   00       2.49  995.0      2.42    -1.25    -9999
MOSC  1nmF 061213 3600 200000-210000   00       2.48  994.7      2.41    -1.80    -9999
MOSC  1nmF 061213 3600 210000-220000   00       2.53  994.6      2.45     0.18    -9999
MOSC  1nmF 061213 3600 220000-230000   00       2.47  994.7      2.40    -2.24    -9999
MOSC  1nmF 061213 3600 230000-240000   00       2.47  994.8      2.39    -2.33    -9999
*
Comment: The Clock of Regisrator is supporting by GPS;	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070NMF1_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
