JUNGFRAU2  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU2  INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU2  STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAU2  PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
JUNGFRAU2  PRE-INCREASE AVERAGE COUNTING RATE    309.66      COUNTS PER SECOND
JUNGFRAU2  TIME INTERVALS    60          3600     
JUNGFRAU2  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAU2  010415 60   111000-111100   30     272.27  491.9    299.42    -3.30    -9999
JUNGFRAU2  010415 60   111100-111200   30     278.12  491.6    304.97    -1.50    -9999
JUNGFRAU2  010415 60   111200-111300   30     279.98  491.8    307.60    -0.70    -9999
JUNGFRAU2  010415 60   111300-111400   30     277.17  491.9    304.80    -1.60    -9999
JUNGFRAU2  010415 60   111400-111500   30     281.92  491.9    310.03     0.10    -9999
JUNGFRAU2  010415 60   111500-111600   30     279.90  491.9    307.80    -0.60    -9999
JUNGFRAU2  010415 60   111600-111700   30     281.23  491.9    309.27    -0.10    -9999
JUNGFRAU2  010415 60   111700-111800   30     279.52  492.0    307.68    -0.60    -9999
JUNGFRAU2  010415 60   111800-111900   30     277.97  491.9    305.68    -1.30    -9999
JUNGFRAU2  010415 60   111900-112000   30     279.10  492.0    307.22    -0.80    -9999
JUNGFRAU2  010415 60   112000-112100   30     277.23  491.7    304.30    -1.70    -9999
JUNGFRAU2  010415 60   112100-112200   30     281.88  491.6    309.10    -0.20    -9999
JUNGFRAU2  010415 60   112200-112300   30     278.58  491.6    305.48    -1.30    -9999
JUNGFRAU2  010415 60   112300-112400   30     280.43  491.7    307.80    -0.60    -9999
JUNGFRAU2  010415 60   112400-112500   30     281.10  491.7    308.53    -0.40    -9999
JUNGFRAU2  010415 60   112500-112600   30     289.32  491.8    317.87     2.60    -9999
JUNGFRAU2  010415 60   112600-112700   30     281.43  491.8    309.20    -0.10    -9999
JUNGFRAU2  010415 60   112700-112800   30     275.38  491.7    302.27    -2.40    -9999
JUNGFRAU2  010415 60   112800-112900   30     277.52  491.8    304.88    -1.50    -9999
JUNGFRAU2  010415 60   112900-113000   30     284.80  491.5    311.98     0.70    -9999
JUNGFRAU2  010415 60   113000-113100   30     279.03  491.6    305.97    -1.20    -9999
JUNGFRAU2  010415 60   113100-113200   30     286.30  491.8    314.55     1.60    -9999
JUNGFRAU2  010415 60   113200-113300   30     284.67  492.0    313.35     1.20    -9999
JUNGFRAU2  010415 60   113300-113400   30     275.77  491.5    302.10    -2.40    -9999
JUNGFRAU2  010415 60   113400-113500   30     277.27  491.5    303.75    -1.90    -9999
JUNGFRAU2  010415 60   113500-113600   30     276.73  491.8    304.03    -1.80    -9999
JUNGFRAU2  010415 60   113600-113700   30     281.08  491.7    308.52    -0.40    -9999
JUNGFRAU2  010415 60   113700-113800   30     276.33  491.7    303.30    -2.10    -9999
JUNGFRAU2  010415 60   113800-113900   30     282.18  491.7    309.72     0.00    -9999
JUNGFRAU2  010415 60   113900-114000   30     280.40  491.4    306.88    -0.90    -9999
JUNGFRAU2  010415 60   114000-114100   30     280.15  491.4    306.62    -1.00    -9999
JUNGFRAU2  010415 60   114100-114200   30     281.82  491.9    309.92     0.10    -9999
JUNGFRAU2  010415 60   114200-114300   30     278.27  491.8    305.72    -1.30    -9999
JUNGFRAU2  010415 60   114300-114400   30     275.62  491.7    302.52    -2.30    -9999
JUNGFRAU2  010415 60   114400-114500   30     277.42  492.1    305.67    -1.30    -9999
JUNGFRAU2  010415 60   114500-114600   30     277.58  491.9    305.27    -1.40    -9999
JUNGFRAU2  010415 60   114600-114700   30     277.10  492.0    305.02    -1.50    -9999
