IRKUTSK3   LATITUDE    52.28     LONGITUDE     104.02    ALTITUDE    3000 M
IRKUTSK3   INSTRUMENT   6NM64    NEUTRON MONITOR     
IRKUTSK3   STANDARD PRESSURE    707     mb     COEFFICIENT   -0.72     % / mb
IRKUTSK3   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
IRKUTSK3   PRE-INCREASE AVERAGE COUNTING RATE    428.23      COUNTS PER SECOND
IRKUTSK3   TIME INTERVALS    300         3600     
IRKUTSK3   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
IRKUTSK3   120517 300  072000-072500   00     438.00  712.2    428.80     0.10    -9999
IRKUTSK3   120517 300  072500-073000   00     440.00  712.2    431.00     0.60    -9999
IRKUTSK3   120517 300  073000-073500   00     438.20  712.3    429.40     0.30    -9999
IRKUTSK3   120517 300  073500-074000   00     439.40  712.2    431.00     0.60    -9999
IRKUTSK3   120517 300  074000-074500   00     440.60  712.2    431.60     0.80    -9999
IRKUTSK3   120517 300  074500-075000   00     440.20  712.2    431.40     0.70    -9999
IRKUTSK3   120517 300  075000-075500   00     439.40  712.3    430.80     0.60    -9999
IRKUTSK3   120517 300  075500-080000   00     439.20  712.4    431.00     0.60    -9999
IRKUTSK3   120517 300  080000-080500   00     438.40  712.5    430.60     0.60    -9999
IRKUTSK3   120517 300  080500-081000   00     437.20  712.5    429.60     0.30    -9999
IRKUTSK3   120517 300  081000-081500   00     441.60  712.5    434.00     1.30    -9999
IRKUTSK3   120517 300  081500-082000   00     440.60  712.5    432.60     1.00    -9999
IRKUTSK3   120517 300  082000-082500   00     440.20  712.5    432.40     1.00    -9999
IRKUTSK3   120517 300  082500-083000   00     441.00  712.3    432.60     1.00    -9999
IRKUTSK3   120517 300  083000-083500   00     441.60  712.3    433.00     1.10    -9999
IRKUTSK3   120517 300  083500-084000   00     437.20  712.3    428.80     0.10    -9999
IRKUTSK3   120517 300  084000-084500   00     439.40  712.4    431.40     0.70    -9999
IRKUTSK3   120517 300  084500-085000   00     439.60  712.6    431.80     0.80    -9999
IRKUTSK3   120517 300  085000-085500   00     441.80  712.6    434.20     1.40    -9999
IRKUTSK3   120517 300  085500-090000   00     437.20  712.6    430.00     0.40    -9999
IRKUTSK3   120517 300  090000-090500   00     438.60  712.6    431.00     0.60    -9999
IRKUTSK3   120517 300  090500-091000   00     437.20  712.6    429.60     0.30    -9999
IRKUTSK3   120517 300  091000-091500   00     436.80  712.6    429.00     0.20    -9999
IRKUTSK3   120517 300  091500-092000   00     435.60  712.7    428.60     0.10    -9999
IRKUTSK3   120517 300  092000-092500   00     437.60  712.6    429.80     0.40    -9999
IRKUTSK3   120517 300  092500-093000   00     439.00  712.7    431.40     0.70    -9999
IRKUTSK3   120517 300  093000-093500   00     441.20  712.6    433.80     1.30    -9999
IRKUTSK3   120517 300  093500-094000   00     437.40  712.6    430.00     0.40    -9999
IRKUTSK3   120517 300  094000-094500   00     435.60  712.6    428.20     0.00    -9999
IRKUTSK3   120517 300  094500-095000   00     441.40  712.6    433.60     1.30    -9999
IRKUTSK3   120517 300  095000-095500   00     439.00  712.7    432.00     0.90    -9999
IRKUTSK3   120517 300  095500-100000   00     437.60  712.8    431.00     0.60    -9999
IRKUTSK3   120517 300  100000-100500   00     436.20  712.8    429.60     0.30    -9999
IRKUTSK3   120517 300  100500-101000   00     435.60  712.8    429.00     0.20    -9999
IRKUTSK3   120517 300  101000-101500   00     439.00  713.0    432.40     1.00    -9999
IRKUTSK3   120517 300  101500-102000   00     433.80  713.0    427.60    -0.10    -9999
IRKUTSK3   120517 300  102000-102500   00     435.80  713.1    429.60     0.30    -9999
IRKUTSK3   120517 300  102500-103000   00     434.00  713.1    428.00    -0.10    -9999
IRKUTSK3   120517 300  103000-103500   00     434.80  713.2    428.80     0.10    -9999
IRKUTSK3   120517 300  103500-104000   00     433.80  713.2    428.20     0.00    -9999
