INUVIK     LATITUDE    68.35     LONGITUDE     -133.72   ALTITUDE    21 M
INUVIK     INSTRUMENT   18NM64    NEUTRON MONITOR     	
INUVIK     STANDARD PRESSURE    1008.14 MB     COEFFICIENT   -0.74     % / MB
INUVIK     PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
INUVIK     PRE-INCREASE AVERAGE COUNTING RATE    193.10      COUNTS PER SECOND
INUVIK     TIME INTERVALS    300         3600     
INUVIK     SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
INUVIK     120517 300  073000-073500   00     175.47 1028.6    196.82     1.90    -9999
INUVIK     120517 300  073500-074000   00     171.63 1028.5    192.46    -0.30    -9999
INUVIK     120517 300  074000-074500   00     171.64 1028.5    192.41    -0.40    -9999
INUVIK     120517 300  074500-075000   00     173.98 1028.5    194.99     1.00    -9999
INUVIK     120517 300  075000-075500   00     172.32 1028.4    193.09     0.00    -9999
INUVIK     120517 300  075500-080000   00     173.32 1028.4    194.21     0.60    -9999
INUVIK     120517 300  080000-080500   00     171.44 1028.4    192.09    -0.50    -9999
INUVIK     120517 300  080500-081000   00     172.83 1028.4    193.58     0.20    -9999
INUVIK     120517 300  081000-081500   00     170.53 1028.4    191.01    -1.10    -9999
INUVIK     120517 300  081500-082000   00     172.08 1028.4    192.72    -0.20    -9999
INUVIK     120517 300  082000-082500   00     170.19 1028.4    190.60    -1.30    -9999
INUVIK     120517 300  082500-083000   00     175.22 1028.4    196.24     1.60    -9999
INUVIK     120517 300  083000-083500   00     171.35 1028.3    191.89    -0.60    -9999
INUVIK     120517 300  083500-084000   00     173.72 1028.4    194.60     0.80    -9999
INUVIK     120517 300  084000-084500   00     171.80 1028.4    192.51    -0.30    -9999
INUVIK     120517 300  084500-085000   00     172.52 1028.4    193.33     0.10    -9999
INUVIK     120517 300  085000-085500   00     173.59 1028.4    194.50     0.70    -9999
INUVIK     120517 300  085500-090000   00     171.25 1028.4    191.89    -0.60    -9999
INUVIK     120517 300  090000-090500   00     173.34 1028.4    194.23     0.60    -9999
INUVIK     120517 300  090500-091000   00     174.56 1028.4    195.53     1.30    -9999
INUVIK     120517 300  091000-091500   00     171.73 1028.4    192.33    -0.40    -9999
INUVIK     120517 300  091500-092000   00     171.44 1028.3    191.96    -0.60    -9999
INUVIK     120517 300  092000-092500   00     173.81 1028.3    194.56     0.80    -9999
INUVIK     120517 300  092500-093000   00     171.43 1028.3    191.85    -0.60    -9999
INUVIK     120517 300  093000-093500   00     172.38 1028.2    192.89    -0.10    -9999
INUVIK     120517 300  093500-094000   00     170.56 1028.2    190.81    -1.20    -9999
INUVIK     120517 300  094000-094500   00     173.43 1028.2    194.02     0.50    -9999
INUVIK     120517 300  094500-095000   00     174.17 1028.2    194.84     0.90    -9999
INUVIK     120517 300  095000-095500   00     172.44 1028.2    192.89    -0.10    -9999
INUVIK     120517 300  095500-100000   00     174.11 1028.2    194.77     0.90    -9999
INUVIK     120517 300  100000-100500   00     173.15 1028.2    193.73     0.30    -9999
INUVIK     120517 300  100500-101000   00     172.81 1028.2    193.34     0.10    -9999
INUVIK     120517 300  101000-101500   00     172.16 1028.2    192.61    -0.30    -9999
INUVIK     120517 300  101500-102000   00     173.55 1028.2    194.18     0.60    -9999
INUVIK     120517 300  102000-102500   00     173.01 1028.2    193.58     0.20    -9999
INUVIK     120517 300  102500-103000   00     172.89 1028.2    193.45     0.20    -9999
INUVIK     120517 300  103000-103500   00     171.09 1028.2    191.43    -0.90    -9999
INUVIK     120517 300  103500-104000   00     172.02 1028.2    192.43    -0.30    -9999
INUVIK     120517 300  104000-104500   00     173.22 1028.2    193.76     0.30    -9999
INUVIK     120517 300  104500-105000   00     171.04 1028.2    191.28    -0.90    -9999
INUVIK     120517 300  105000-105500   00     172.62 1028.2    193.03     0.00    -9999
