ALMA-ATA-B LATITUDE    43.14     LONGITUDE     76.6      ALTITUDE    3340 M
ALMA-ATA-B INSTRUMENT   18NM64    NEUTRON MONITOR     
ALMA-ATA-B STANDARD PRESSURE    675     MB     COEFFICIENT   -0.72     % / MB
ALMA-ATA-B PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
ALMA-ATA-B PRE-INCREASE AVERAGE COUNTING RATE  1,450.22      COUNTS PER SECOND
ALMA-ATA-B TIME INTERVALS    300         3600     
ALMA-ATA-B SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
ALMA-ATA-B 120517 300  123500-124000   00    1358.58  678.0   1436.54    -0.90    -9999
ALMA-ATA-B 120517 300  124000-124500   00    1356.96  678.0   1434.40    -1.10    -9999
ALMA-ATA-B 120517 300  124500-125000   00    1358.80  677.9   1435.64    -1.00    -9999
ALMA-ATA-B 120517 300  125000-125500   00    1359.64  677.9   1436.44    -1.00    -9999
ALMA-ATA-B 120517 300  125500-130000   00    1363.40  678.0   1441.02    -0.60    -9999
ALMA-ATA-B 120517 300  130000-130500   00    1367.56  677.9   1445.12    -0.40    -9999
ALMA-ATA-B 120517 300  130500-131000   00    1361.34  677.9   1438.44    -0.80    -9999
ALMA-ATA-B 120517 300  131000-131500   00    1359.04  677.9   1436.10    -1.00    -9999
ALMA-ATA-B 120517 300  131500-132000   00    1360.86  678.0   1438.92    -0.80    -9999
ALMA-ATA-B 120517 300  132000-132500   00    1361.78  678.0   1439.80    -0.70    -9999
ALMA-ATA-B 120517 300  132500-133000   00    1364.18  678.0   1442.36    -0.50    -9999
ALMA-ATA-B 120517 300  133000-133500   00    1361.38  678.0   1439.48    -0.70    -9999
ALMA-ATA-B 120517 300  133500-134000   00    1357.88  678.0   1435.82    -1.00    -9999
ALMA-ATA-B 120517 300  134000-134500   00    1363.78  678.0   1441.48    -0.60    -9999
ALMA-ATA-B 120517 300  134500-135000   00    1363.78  677.9   1441.18    -0.60    -9999
ALMA-ATA-B 120517 300  135000-135500   00    1371.36  677.8   1448.56    -0.10    -9999
ALMA-ATA-B 120517 300  135500-140000   00    1365.72  677.8   1442.32    -0.50    -9999
ALMA-ATA-B 120517 300  140000-140500   00    1366.78  677.8   1443.42    -0.50    -9999
ALMA-ATA-B 120517 300  140500-141000   00    1358.70  677.9   1435.46    -1.00    -9999
ALMA-ATA-B 120517 300  141000-141500   00    1359.84  677.9   1436.66    -0.90    -9999
ALMA-ATA-B 120517 300  141500-142000   00    1355.60  677.9   1432.48    -1.20    -9999
ALMA-ATA-B 120517 300  142000-142500   00    1358.52  678.0   1436.14    -1.00    -9999
ALMA-ATA-B 120517 300  142500-143000   00    1366.66  678.0   1445.14    -0.40    -9999
ALMA-ATA-B 120517 300  143000-143500   00    1357.46  678.0   1435.66    -1.00    -9999
ALMA-ATA-B 120517 300  143500-144000   00    1358.86  678.0   1436.88    -0.90    -9999
ALMA-ATA-B 120517 300  144000-144500   00    1364.28  678.0   1443.04    -0.50    -9999
ALMA-ATA-B 120517 300  144500-145000   00    1356.40  678.1   1434.98    -1.10    -9999
ALMA-ATA-B 120517 300  145000-145500   00    1355.80  678.1   1434.72    -1.10    -9999
ALMA-ATA-B 120517 300  145500-150000   00    1366.78  678.2   1447.02    -0.20    -9999
ALMA-ATA-B 120517 300  150000-150500   00    1359.32  678.2   1439.80    -0.70    -9999
ALMA-ATA-B 120517 300  150500-151000   00    1356.94  678.3   1437.36    -0.90    -9999
ALMA-ATA-B 120517 300  151000-151500   00    1353.06  678.3   1433.28    -1.20    -9999
ALMA-ATA-B 120517 300  151500-152000   00    1355.98  678.3   1436.48    -0.90    -9999
ALMA-ATA-B 120517 300  152000-152500   00    1358.20  678.3   1439.32    -0.80    -9999
ALMA-ATA-B 120517 300  152500-153000   00    1361.98  678.3   1443.52    -0.50    -9999
ALMA-ATA-B 120517 300  153000-153500   00    1363.82  678.3   1445.38    -0.30    -9999
ALMA-ATA-B 120517 300  153500-154000   00    1364.78  678.3   1446.74    -0.20    -9999
ALMA-ATA-B 120517 300  154000-154500   00    1356.08  678.4   1437.68    -0.90    -9999
ALMA-ATA-B 120517 300  154500-155000   00    1359.92  678.4   1441.68    -0.60    -9999
ALMA-ATA-B 120517 300  155000-155500   00    1358.20  678.4   1439.70    -0.70    -9999
ALMA-ATA-B 120517 300  155500-160000   00    1352.04  678.3   1432.84    -1.20    -9999
ALMA-ATA-B 120517 300  160000-160500   00    1357.30  678.3   1438.42    -0.80    -9999
ALMA-ATA-B 120517 300  160500-161000   00    1360.92  678.4   1442.62    -0.50    -9999
ALMA-ATA-B 120517 300  161000-161500   00    1352.20  678.3   1432.90    -1.20    -9999
ALMA-ATA-B 120517 300  161500-162000   00    1361.80  678.3   1442.52    -0.50    -9999
ALMA-ATA-B 120517 300  162000-162500   00    1362.46  678.3   1443.34    -0.50    -9999
ALMA-ATA-B 120517 300  162500-163000   00    1357.28  678.3   1437.94    -0.80    -9999
ALMA-ATA-B 120517 300  163000-163500   00    1357.48  678.3   1438.32    -0.80    -9999
ALMA-ATA-B 120517 300  163500-164000   00    1359.24  678.3   1439.76    -0.70    -9999
ALMA-ATA-B 120517 300  164000-164500   00    1361.84  678.2   1441.96    -0.60    -9999
ALMA-ATA-B 120517 300  164500-165000   00    1353.26  678.2   1432.38    -1.20    -9999
ALMA-ATA-B 120517 300  165000-165500   00    1360.64  678.2   1440.10    -0.70    -9999
ALMA-ATA-B 120517 300  165500-170000   00    1359.72  678.1   1439.08    -0.80    -9999
ALMA-ATA-B 120517 300  170000-170500   00    1360.48  678.2   1440.16    -0.70    -9999
ALMA-ATA-B 120517 300  170500-171000   00    1355.52  678.2   1435.28    -1.00    -9999
ALMA-ATA-B 120517 300  171000-171500   00    1357.08  678.2   1436.84    -0.90    -9999
ALMA-ATA-B 120517 300  171500-172000   00    1359.88  678.2   1439.52    -0.70    -9999
