MCMURDO    LATITUDE    -77.85    LONGITUDE     166.72    ALTITUDE    48 M
MCMURDO    INSTRUMENT   18-NM-64  NEUTRON MONITOR	
MCMURDO    STANDARD PRESSURE    730     MMHG   COEFFICIENT   -0.99     % / MMHG
MCMURDO    PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
MCMURDO    PRE-INCREASE AVERAGE COUNTING RATE    225.22      COUNTS PER SECOND
MCMURDO    TIME INTERVALS    60          3600     
MCMURDO    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
MCMURDO    000714 60   113900-114000   00     280.25  732.4    286.99    27.20    26.78
MCMURDO    000714 60   114000-114100   00     278.59  732.4    285.29    26.40    25.98
MCMURDO    000714 60   114100-114200   00     270.30  732.4    276.75    22.60    22.17
MCMURDO    000714 60   114200-114300   00     275.28  732.3    281.62    24.80    24.37
MCMURDO    000714 60   114300-114400   00     268.64  732.3    274.83    21.80    21.37
MCMURDO    000714 60   114400-114500   00     266.98  732.3    273.13    21.00    20.57
MCMURDO    000714 60   114500-114600   00     273.62  732.3    279.92    24.00    23.57
MCMURDO    000714 60   114600-114700   00     273.62  732.3    279.92    24.00    23.56
MCMURDO    000714 60   114700-114800   00     266.98  732.3    273.13    21.00    20.56
MCMURDO    000714 60   114800-114900   00     268.64  732.3    274.83    21.80    21.36
MCMURDO    000714 60   114900-115000   00     265.33  732.3    271.44    20.30    19.86
MCMURDO    000714 60   115000-115100   00     266.98  732.3    273.13    21.00    20.55
MCMURDO    000714 60   115100-115200   00     266.98  732.3    273.09    21.00    20.55
MCMURDO    000714 60   115200-115300   00     268.64  732.2    274.56    21.60    21.15
MCMURDO    000714 60   115300-115400   00     268.64  732.2    274.60    21.70    21.25
MCMURDO    000714 60   115400-115500   00     271.96  732.3    278.22    23.30    22.84
MCMURDO    000714 60   115500-115600   00     266.98  732.3    273.09    21.00    20.54
MCMURDO    000714 60   115600-115700   00     266.98  732.2    272.86    20.90    20.44
MCMURDO    000714 60   115700-115800   00     270.30  732.2    276.30    22.40    21.94
MCMURDO    000714 60   115800-115900   00     266.98  732.3    273.13    21.00    20.54
MCMURDO    000714 60   115900-120000   00     268.64  732.3    274.83    21.80    21.33
MCMURDO    000714 60   120000-120100   00     263.67  732.3    269.74    19.50    19.03
MCMURDO    000714 60   120100-120200   00     260.35  732.3    266.30    18.00    17.53
MCMURDO    000714 60   120200-120300   00     266.98  732.2    272.86    20.90    20.43
MCMURDO    000714 60   120300-120400   00     266.98  732.2    272.91    20.90    20.42
MCMURDO    000714 60   120400-120500   00     263.67  732.3    269.74    19.50    19.02
MCMURDO    000714 60   120500-120600   00     265.33  732.3    271.48    20.30    19.82
MCMURDO    000714 60   120600-120700   00     263.67  732.4    270.01    19.60    19.12
MCMURDO    000714 60   120700-120800   00     266.98  732.4    273.40    21.10    20.62
MCMURDO    000714 60   120800-120900   00     253.72  732.4    259.82    15.10    14.61
MCMURDO    000714 60   120900-121000   00     262.01  732.4    268.31    18.90    18.41
MCMURDO    000714 60   121000-121100   00     258.69  732.4    264.91    17.40    16.91
MCMURDO    000714 60   121100-121200   00     260.35  732.4    266.61    18.10    17.61
MCMURDO    000714 60   121200-121300   00     260.35  732.4    266.61    18.10    17.60
MCMURDO    000714 60   121300-121400   00     263.67  732.4    270.05    19.70    19.20
MCMURDO    000714 60   121400-121500   00     266.98  732.5    273.67    21.30    20.80
MCMURDO    000714 60   121500-121600   00     262.01  732.5    268.57    19.00    18.50
MCMURDO    000714 60   121600-121700   00     258.69  732.5    265.17    17.50    17.00
MCMURDO    000714 60   121700-121800   00     257.03  732.5    263.52    16.80    16.29
MCMURDO    000714 60   121800-121900   00     262.01  732.6    268.84    19.10    18.59
MCMURDO    000714 60   121900-122000   00     260.35  732.6    267.14    18.40    17.89
MCMURDO    000714 60   122000-122100   00     258.69  732.6    265.44    17.60    17.09
MCMURDO    000714 60   122100-122200   00     258.69  732.6    265.44    17.60    17.09
MCMURDO    000714 60   122200-122300   00     255.38  732.6    262.03    16.10    15.58
MCMURDO    000714 60   122300-122400   00     258.69  732.6    265.44    17.60    17.08
MCMURDO    000714 60   122400-122500   00     265.33  732.6    272.24    20.60    20.08
MCMURDO    000714 60   122500-122600   00     250.40  732.6    256.89    13.80    13.28
MCMURDO    000714 60   122600-122700   00     258.69  732.5    265.17    17.50    16.98
MCMURDO    000714 60   122700-122800   00     260.35  732.5    266.87    18.20    17.67
MCMURDO    000714 60   122800-122900   00     257.03  732.5    263.47    16.70    16.17
MCMURDO    000714 60   122900-123000   00     258.69  732.5    265.22    17.50    16.97
MCMURDO    000714 60   123000-123100   00     252.06  732.6    258.63    14.60    14.07
MCMURDO    000714 60   123100-123200   00     253.72  732.6    260.33    15.30    14.76
MCMURDO    000714 60   123200-123300   00     255.38  732.6    262.03    16.10    15.56
MCMURDO    000714 60   123300-123400   00     250.40  732.6    256.93    13.80    13.26
MCMURDO    000714 60   123400-123500   00     258.69  732.6    265.44    17.60    17.06
MCMURDO    000714 60   123500-123600   00     253.72  732.6    260.33    15.30    14.76
MCMURDO    000714 60   123600-123700   00     253.72  732.6    260.33    15.30    14.75
MCMURDO    000714 60   123700-123800   00     252.06  732.6    258.67    14.60    14.05
MCMURDO    000714 60   123800-123900   00     250.40  732.7    257.18    13.90    13.35
MCMURDO    000714 60   123900-124000   00     255.38  732.7    262.29    16.20    15.65
