NOVOSIBIRS LATITUDE    54.8      LONGITUDE     83        ALTITUDE    163 M
NOVOSIBIRS INSTRUMENT   24-NM-64  NEUTRON MONITOR
NOVOSIBIRS STANDARD PRESSURE    993.3   mb     COEFFICIENT   -0.718    % / mb
NOVOSIBIRS PRE-INCREASE BASELINE TIME INTERVAL    061213    010000-020000   UT
NOVOSIBIRS PRE-INCREASE AVERAGE COUNTING RATE    173.57      COUNTS PER SECOND
NOVOSIBIRS TIME INTERVALS    300         3600     
NOVOSIBIRS SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
NOVOSIBIRS 061213 300  073500-074000   00     170.83  996.5    174.80     0.70     0.70
NOVOSIBIRS 061213 300  074000-074500   00     171.49  996.5    175.48     1.10     1.10
NOVOSIBIRS 061213 300  074500-075000   00     172.53  996.5    176.54     1.70     1.70
NOVOSIBIRS 061213 300  075000-075500   00     173.04  996.5    177.06     2.00     2.00
NOVOSIBIRS 061213 300  075500-080000   00     170.20  996.5    174.16     0.30     0.30
NOVOSIBIRS 061213 3600 080000-090000   00     170.56  997.1    175.28     1.00     1.00
NOVOSIBIRS 061213 3600 090000-100000   00     169.15  997.8    174.70     0.70     0.70
NOVOSIBIRS 061213 3600 100000-110000   00     167.98  998.4    174.25     0.40     0.40
NOVOSIBIRS 061213 3600 110000-120000   00     167.13  998.9    173.99     0.20     0.20
NOVOSIBIRS 061213 3600 120000-130000   00     166.47  999.3    173.80     0.10     0.10
NOVOSIBIRS 061213 3600 130000-140000   00     165.77  999.6    173.44    -0.10    -9999
NOVOSIBIRS 061213 3600 140000-150000   00     164.76  999.7    172.51    -0.60    -9999
NOVOSIBIRS 061213 3600 150000-160000   00     164.27 1000.1    172.49    -0.60    -9999
NOVOSIBIRS 061213 3600 160000-170000   00     164.07 1000.2    172.40    -0.70    -9999
NOVOSIBIRS 061213 3600 170000-180000   00     164.12 1000.3    172.58    -0.60    -9999
NOVOSIBIRS 061213 3600 180000-190000   00     163.60 1000.5    172.28    -0.70    -9999
NOVOSIBIRS 061213 3600 190000-200000   00     163.77 1000.6    172.58    -0.60    -9999
NOVOSIBIRS 061213 3600 200000-210000   00     162.18 1001.0    171.40    -1.20    -9999
NOVOSIBIRS 061213 3600 210000-220000   00     162.96 1001.4    172.72    -0.50    -9999
NOVOSIBIRS 061213 3600 220000-230000   00     162.60 1001.6    172.59    -0.60    -9999
NOVOSIBIRS 061213 3600 230000-240000   00     161.32 1001.9    171.60    -1.10    -9999
*
Comment: The Clock of Regisrator is on -6 sec;	sec;
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-02-24 11:29:29 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE70/C070NVBK_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
