MAGADAN    LATITUDE    60.1      LONGITUDE     151       ALTITUDE    0 M
MAGADAN    INSTRUMENT   18NM64    NEUTRON MONITOR     	
MAGADAN    STANDARD PRESSURE    982     mb     COEFFICIENT   -0.74     % / mb
MAGADAN    PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
MAGADAN    PRE-INCREASE AVERAGE COUNTING RATE    180.38      COUNTS PER SECOND
MAGADAN    TIME INTERVALS    300         3600     
MAGADAN    SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
MAGADAN    120517 300  063500-064000   00     182.03  978.5    180.06    -0.20    -9999
MAGADAN    120517 300  064000-064500   00     181.13  978.5    179.21    -0.60    -9999
MAGADAN    120517 300  064500-065000   00     183.06  978.5    181.12     0.40    -9999
MAGADAN    120517 300  065000-065500   00     183.27  978.5    181.32     0.50    -9999
MAGADAN    120517 300  065500-070000   00     180.54  978.5    178.62    -1.00    -9999
MAGADAN    120517 300  070000-070500   00     181.90  978.5    179.96    -0.20    -9999
MAGADAN    120517 300  070500-071000   00     184.12  978.5    182.20     1.00    -9999
MAGADAN    120517 300  071000-071500   00     183.86  978.6    181.98     0.90    -9999
MAGADAN    120517 300  071500-072000   00     181.11  978.6    179.30    -0.60    -9999
MAGADAN    120517 300  072000-072500   00     182.65  978.6    180.87     0.30    -9999
MAGADAN    120517 300  072500-073000   00     185.02  978.7    183.32     1.60    -9999
MAGADAN    120517 300  073000-073500   00     183.68  978.7    182.03     0.90    -9999
MAGADAN    120517 300  073500-074000   00     181.88  978.8    180.25    -0.10    -9999
MAGADAN    120517 300  074000-074500   00     182.22  978.8    180.62     0.10    -9999
MAGADAN    120517 300  074500-075000   00     183.36  978.8    181.80     0.80    -9999
MAGADAN    120517 300  075000-075500   00     180.85  978.9    179.40    -0.50    -9999
MAGADAN    120517 300  075500-080000   00     185.15  978.9    183.73     1.90    -9999
MAGADAN    120517 300  080000-080500   00     183.25  978.9    181.82     0.80    -9999
MAGADAN    120517 300  080500-081000   00     181.44  978.9    180.02    -0.20    -9999
MAGADAN    120517 300  081000-081500   00     183.67  978.9    182.24     1.00    -9999
MAGADAN    120517 300  081500-082000   00     181.07  978.9    179.68    -0.40    -9999
MAGADAN    120517 300  082000-082500   00     182.16  979.0    180.80     0.20    -9999
MAGADAN    120517 300  082500-083000   00     180.17  979.0    178.88    -0.80    -9999
MAGADAN    120517 300  083000-083500   00     180.89  979.1    179.66    -0.40    -9999
MAGADAN    120517 300  083500-084000   00     181.02  979.1    179.86    -0.30    -9999
MAGADAN    120517 300  084000-084500   00     181.90  979.1    180.72     0.20    -9999
MAGADAN    120517 300  084500-085000   00     183.01  979.1    181.86     0.80    -9999
MAGADAN    120517 300  085000-085500   00     181.52  979.2    180.45     0.00    -9999
MAGADAN    120517 300  085500-090000   00     179.38  979.2    178.40    -1.10    -9999
MAGADAN    120517 300  090000-090500   00     177.77  979.3    176.83    -2.00    -9999
MAGADAN    120517 300  090500-091000   00     179.84  979.3    178.88    -0.80    -9999
MAGADAN    120517 300  091000-091500   00     181.52  979.3    180.61     0.10    -9999
MAGADAN    120517 300  091500-092000   00     179.44  979.4    178.63    -1.00    -9999
MAGADAN    120517 300  092000-092500   00     180.46  979.4    179.63    -0.40    -9999
MAGADAN    120517 300  092500-093000   00     181.47  979.5    180.77     0.20    -9999
MAGADAN    120517 300  093000-093500   00     181.58  979.5    180.98     0.30    -9999
MAGADAN    120517 300  093500-094000   00     180.03  979.6    179.49    -0.50    -9999
MAGADAN    120517 300  094000-094500   00     180.03  979.6    179.53    -0.50    -9999
MAGADAN    120517 300  094500-095000   00     179.37  979.6    178.92    -0.80    -9999
MAGADAN    120517 300  095000-095500   00     178.87  979.7    178.48    -1.10    -9999
MAGADAN    120517 300  095500-100000   00     180.76  979.7    180.41     0.00    -9999
MAGADAN    120517 300  100000-100500   00     179.38  979.8    179.18    -0.70    -9999
MAGADAN    120517 300  100500-101000   00     179.48  979.9    179.37    -0.60    -9999
MAGADAN    120517 300  101000-101500   00     181.06  979.9    180.99     0.30    -9999
MAGADAN    120517 300  101500-102000   00     179.07  980.0    179.09    -0.70    -9999
MAGADAN    120517 300  102000-102500   00     178.75  980.1    178.83    -0.90    -9999
MAGADAN    120517 300  102500-103000   00     177.96  980.1    178.06    -1.30    -9999
MAGADAN    120517 300  103000-103500   00     180.86  980.1    181.00     0.30    -9999
MAGADAN    120517 300  103500-104000   00     178.30  980.1    178.45    -1.10    -9999
MAGADAN    120517 300  104000-104500   00     178.34  980.2    178.60    -1.00    -9999
MAGADAN    120517 300  104500-105000   00     178.16  980.3    178.50    -1.00    -9999
MAGADAN    120517 300  105000-105500   00     179.28  980.3    179.71    -0.40    -9999
MAGADAN    120517 300  105500-110000   00     175.54  980.3    175.96    -2.50    -9999
MAGADAN    120517 300  110000-110500   00     177.76  980.3    178.20    -1.20    -9999
MAGADAN    120517 300  110500-111000   00     176.98  980.4    177.47    -1.60    -9999
MAGADAN    120517 300  111000-111500   00     176.66  980.5    177.24    -1.70    -9999
MAGADAN    120517 300  111500-112000   00     177.29  980.5    177.92    -1.40    -9999
MAGADAN    120517 300  112000-112500   00     177.38  980.5    178.00    -1.30    -9999
MAGADAN    120517 300  112500-113000   00     177.22  980.5    177.89    -1.40    -9999
MAGADAN    120517 300  113000-113500   00     179.06  980.5    179.72    -0.40    -9999
MAGADAN    120517 300  113500-114000   00     177.09  980.5    177.78    -1.40    -9999
MAGADAN    120517 300  114000-114500   00     175.77  980.5    176.45    -2.20    -9999
MAGADAN    120517 300  114500-115000   00     178.37  980.5    179.06    -0.70    -9999
MAGADAN    120517 300  115000-115500   00     177.83  980.6    178.54    -1.00    -9999
MAGADAN    120517 300  115500-120000   00     176.39  980.6    177.14    -1.80    -9999
MAGADAN    120517 300  120000-120500   00     177.82  980.6    178.59    -1.00    -9999
MAGADAN    120517 300  120500-121000   00     178.99  980.6    179.81    -0.30    -9999
MAGADAN    120517 300  121000-121500   00     177.04  980.7    177.88    -1.40    -9999
MAGADAN    120517 300  121500-122000   00     179.27  980.7    180.16    -0.10    -9999
MAGADAN    120517 300  122000-122500   00     178.05  980.7    178.94    -0.80    -9999
MAGADAN    120517 300  122500-123000   00     177.95  980.7    178.88    -0.80    -9999
MAGADAN    120517 300  123000-123500   00     175.66  980.8    176.68    -2.10    -9999
MAGADAN    120517 300  123500-124000   00     176.36  980.8    177.43    -1.60    -9999
MAGADAN    120517 300  124000-124500   00     179.32  980.9    180.46     0.00    -9999
MAGADAN    120517 300  124500-125000   00     176.95  980.9    178.12    -1.30    -9999
MAGADAN    120517 300  125000-125500   00     177.39  980.9    178.60    -1.00    -9999
MAGADAN    120517 300  125500-130000   00     177.45  981.0    178.71    -0.90    -9999
