HERMANUS   LATITUDE    -34.42    LONGITUDE     19.22     ALTITUDE    26 M
HERMANUS   INSTRUMENT   12NM64    NEUTRON MONITOR     
HERMANUS   STANDARD PRESSURE    1012.3  mb     COEFFICIENT   -0.73     % / mb
HERMANUS   PRE-INCREASE BASELINE TIME INTERVAL    031028    100000-110000   UT
HERMANUS   PRE-INCREASE AVERAGE COUNTING RATE    110.14      COUNTS PER SECOND
HERMANUS   TIME INTERVALS    300         3600     
HERMANUS   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (mb)      C/S
HERMANUS   031028 300  181500-182000   00     111.65 1012.1    111.47     1.20    -9999
HERMANUS   031028 300  182000-182500   00     110.45 1012.1    110.25     0.10    -9999
HERMANUS   031028 300  182500-183000   00     111.98 1012.1    111.77     1.50    -9999
HERMANUS   031028 300  183000-183500   00     111.15 1012.0    110.95     0.70    -9999
HERMANUS   031028 300  183500-184000   00     110.60 1012.0    110.39     0.20    -9999
HERMANUS   031028 300  184000-184500   00     110.73 1012.0    110.52     0.30    -9999
HERMANUS   031028 300  184500-185000   00     110.69 1012.0    110.46     0.30    -9999
HERMANUS   031028 300  185000-185500   00     111.34 1012.0    111.11     0.90    -9999
HERMANUS   031028 300  185500-190000   00     111.36 1012.0    111.12     0.90    -9999
HERMANUS   031028 300  190000-190500   00     109.98 1012.0    109.73    -0.40    -9999
HERMANUS   031028 300  190500-191000   00     110.32 1012.0    110.07    -0.10    -9999
HERMANUS   031028 300  191000-191500   00     112.97 1012.0    112.70     2.30    -9999
HERMANUS   031028 300  191500-192000   00     110.03 1012.0    109.76    -0.30    -9999
HERMANUS   031028 300  192000-192500   00     112.27 1012.0    111.99     1.70    -9999
HERMANUS   031028 300  192500-193000   00     111.13 1012.0    110.85     0.60    -9999
HERMANUS   031028 300  193000-193500   00     112.26 1011.9    111.97     1.60    -9999
HERMANUS   031028 300  193500-194000   00     110.22 1011.9    109.93    -0.20    -9999
HERMANUS   031028 300  194000-194500   00     110.22 1011.9    109.92    -0.20    -9999
HERMANUS   031028 300  194500-195000   00     112.97 1011.9    112.66     2.30    -9999
HERMANUS   031028 300  195000-195500   00     110.25 1011.9    109.94    -0.20    -9999
HERMANUS   031028 300  195500-200000   00     111.16 1011.9    110.84     0.60    -9999
HERMANUS   031028 300  200000-200500   00     112.41 1011.9    112.08     1.80    -9999
HERMANUS   031028 300  200500-201000   00     111.70 1011.9    111.34     1.10    -9999
HERMANUS   031028 300  201000-201500   00     109.26 1011.8    108.90    -1.10    -9999
HERMANUS   031028 300  201500-202000   00     111.96 1011.8    111.56     1.30    -9999
HERMANUS   031028 300  202000-202500   00     112.19 1011.8    111.77     1.50    -9999
HERMANUS   031028 300  202500-203000   00     111.27 1011.8    110.84     0.60    -9999
HERMANUS   031028 300  203000-203500   00     111.39 1011.7    110.94     0.70    -9999
HERMANUS   031028 300  203500-204000   00     111.96 1011.7    111.48     1.20    -9999
HERMANUS   031028 300  204000-204500   00     110.47 1011.7    109.98    -0.20    -9999
HERMANUS   031028 300  204500-205000   00     111.74 1011.7    111.22     1.00    -9999
HERMANUS   031028 300  205000-205500   00     110.30 1011.6    109.77    -0.30    -9999
HERMANUS   031028 300  205500-210000   00     110.57 1011.6    110.02    -0.10    -9999
HERMANUS   031028 300  210000-210500   00     113.28 1011.6    112.69     2.30    -9999
HERMANUS   031028 300  210500-211000   00     111.97 1011.6    111.37     1.10    -9999
HERMANUS   031028 300  211000-211500   00     112.32 1011.5    111.70     1.40    -9999
HERMANUS   031028 300  211500-212000   00     112.90 1011.5    112.25     1.90    -9999
HERMANUS   031028 300  212000-212500   00     111.98 1011.5    111.32     1.10    -9999
HERMANUS   031028 300  212500-213000   00     112.35 1011.5    111.67     1.40    -9999
HERMANUS   031028 300  213000-213500   00     111.67 1011.4    110.97     0.80    -9999
HERMANUS   031028 300  213500-214000   00     112.74 1011.4    112.02     1.70    -9999
HERMANUS   031028 300  214000-214500   00     111.04 1011.4    110.31     0.20    -9999
HERMANUS   031028 300  214500-215000   00     113.01 1011.4    112.24     1.90    -9999
HERMANUS   031028 300  215000-215500   00     112.91 1011.3    112.13     1.80    -9999
HERMANUS   031028 300  215500-220000   00     113.07 1011.3    112.26     1.90    -9999
HERMANUS   031028 300  220000-220500   00     111.64 1011.3    110.82     0.60    -9999
HERMANUS   031028 300  220500-221000   00     113.29 1011.2    112.41     2.10    -9999
HERMANUS   031028 300  221000-221500   00     112.96 1011.2    112.06     1.70    -9999
HERMANUS   031028 300  221500-222000   00     111.59 1011.2    110.66     0.50    -9999
HERMANUS   031028 300  222000-222500   00     113.15 1011.1    112.18     1.90    -9999
HERMANUS   031028 300  222500-223000   00     112.54 1011.1    111.54     1.30    -9999
HERMANUS   031028 300  223000-223500   00     112.67 1011.0    111.63     1.30    -9999
HERMANUS   031028 300  223500-224000   00     113.89 1011.0    112.81     2.40    -9999
HERMANUS   031028 300  224000-224500   00     113.33 1011.0    112.22     1.90    -9999
HERMANUS   031028 300  224500-225000   00     111.89 1010.9    110.76     0.60    -9999
HERMANUS   031028 300  225000-225500   00     110.67 1010.9    109.52    -0.50    -9999
HERMANUS   031028 300  225500-230000   00     113.70 1010.8    112.48     2.10    -9999
