JUNGFRAU   LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3475 M
JUNGFRAU   INSTRUMENT   3-NM-64  NEUTRON MONITOR	
JUNGFRAU   STANDARD PRESSURE    641.06  MB     COEFFICIENT   -0.72     % / MB
JUNGFRAU   PRE-INCREASE BASELINE TIME INTERVAL    120516    230000-010000   UT
JUNGFRAU   PRE-INCREASE AVERAGE COUNTING RATE    159.14      COUNTS PER SECOND
JUNGFRAU   TIME INTERVALS    300         3600     
JUNGFRAU   SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
JUNGFRAU   120517 300  085500-090000   00     173.02  655.5    163.09     2.50    -9999
JUNGFRAU   120517 300  090000-090500   00     173.79  655.5    163.90     3.00    -9999
JUNGFRAU   120517 300  090500-091000   00     171.96  655.6    162.29     2.00    -9999
JUNGFRAU   120517 300  091000-091500   00     170.18  655.6    160.69     1.00    -9999
JUNGFRAU   120517 300  091500-092000   00     170.32  655.7    160.87     1.10    -9999
JUNGFRAU   120517 300  092000-092500   00     169.48  655.7    160.16     0.60    -9999
JUNGFRAU   120517 300  092500-093000   00     171.39  655.8    161.94     1.80    -9999
JUNGFRAU   120517 300  093000-093500   00     170.98  655.8    161.71     1.60    -9999
JUNGFRAU   120517 300  093500-094000   00     171.77  655.8    162.32     2.00    -9999
JUNGFRAU   120517 300  094000-094500   00     173.45  655.8    163.95     3.00    -9999
JUNGFRAU   120517 300  094500-095000   00     171.69  655.8    162.22     1.90    -9999
JUNGFRAU   120517 300  095000-095500   00     171.87  655.8    162.40     2.00    -9999
JUNGFRAU   120517 300  095500-100000   00     170.39  655.9    161.15     1.30    -9999
JUNGFRAU   120517 300  100000-100500   00     170.72  656.0    161.54     1.50    -9999
JUNGFRAU   120517 300  100500-101000   00     172.38  656.0    163.20     2.60    -9999
JUNGFRAU   120517 300  101000-101500   00     172.66  656.0    163.49     2.70    -9999
JUNGFRAU   120517 300  101500-102000   00     170.92  656.1    161.93     1.80    -9999
