GOOSE BAY  LATITUDE    53.27     LONGITUDE     299.6     ALTITUDE    46 M
GOOSE BAY  INSTRUMENT   18-NM-64  NEUTRON MONITOR	
GOOSE BAY  STANDARD PRESSURE    758     MMHG   COEFFICIENT   -0.987    % / MMHG
GOOSE BAY  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
GOOSE BAY  PRE-INCREASE AVERAGE COUNTING RATE    168.03      COUNTS PER SECOND
GOOSE BAY  TIME INTERVALS    60          300         3600     
GOOSE BAY  SCALE FACTORS     1           1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
GOOSE BAY  000714 60   120000-120100   00     207.17  755.0    201.12    19.70    19.70
GOOSE BAY  000714 60   120100-120200   00     214.19  754.9    207.74    23.60    23.60
GOOSE BAY  000714 60   120200-120300   00     208.83  755.0    202.74    20.70    20.70
GOOSE BAY  000714 60   120300-120400   00     213.83  754.9    207.39    23.40    23.40
GOOSE BAY  000714 60   120400-120500   00     212.17  754.9    205.77    22.50    22.50
GOOSE BAY  000714 60   120500-120600   00     208.83  754.9    202.54    20.50    20.50
GOOSE BAY  000714 60   120600-120700   00     207.17  754.9    200.92    19.60    19.60
GOOSE BAY  000714 60   120700-120800   00     208.83  755.0    202.74    20.70    20.70
GOOSE BAY  000714 60   120800-120900   00     210.50  755.0    204.36    21.60    21.60
GOOSE BAY  000714 60   120900-121000   00     212.17  754.9    205.77    22.50    22.50
GOOSE BAY  000714 60   121000-121100   00     207.17  754.9    200.92    19.60    19.60
GOOSE BAY  000714 60   121100-121200   00     205.50  755.0    199.50    18.70    18.70
GOOSE BAY  000714 60   121200-121300   00     207.17  754.9    200.92    19.60    19.60
GOOSE BAY  000714 60   121300-121400   00     203.83  754.9    197.69    17.70    17.70
GOOSE BAY  000714 60   121400-121500   00     203.83  754.9    197.69    17.70    17.70
GOOSE BAY  000714 60   121500-121600   00     202.17  754.9    196.07    16.70    16.70
GOOSE BAY  000714 60   121600-121700   00     203.83  754.9    197.69    17.70    17.70
GOOSE BAY  000714 60   121700-121800   00     203.83  754.9    197.69    17.70    17.70
GOOSE BAY  000714 60   121800-121900   00     205.50  754.9    199.31    18.60    18.60
GOOSE BAY  000714 60   121900-122000   00     202.17  754.9    196.07    16.70    16.70
GOOSE BAY  000714 60   122000-122100   00     203.83  754.9    197.69    17.70    17.70
GOOSE BAY  000714 60   122100-122200   00     199.16  754.9    193.16    15.00    15.00
GOOSE BAY  000714 60   122200-122300   00     198.83  754.9    192.84    14.80    14.80
GOOSE BAY  000714 60   122300-122400   00     205.50  754.9    199.31    18.60    18.60
GOOSE BAY  000714 60   122400-122500   00     205.50  754.9    199.31    18.60    18.60
GOOSE BAY  000714 60   122500-122600   00     200.50  754.8    194.27    15.60    15.60
GOOSE BAY  000714 60   122600-122700   00     198.83  754.9    192.84    14.80    14.80
GOOSE BAY  000714 60   122700-122800   00     200.50  754.9    194.46    15.70    15.70
GOOSE BAY  000714 60   122800-122900   00     207.17  754.9    200.92    19.60    19.60
GOOSE BAY  000714 60   122900-123000   00     198.83  754.9    192.84    14.80    14.80
GOOSE BAY  000714 60   123000-123100   00     197.17  754.9    191.23    13.80    13.80
GOOSE BAY  000714 60   123100-123200   00     202.17  754.9    196.07    16.70    16.70
