TIXIE BAY  LATITUDE    71.58     LONGITUDE     128.92    ALTITUDE    0 M
TIXIE BAY  INSTRUMENT   18-NM-64  NEUTRON MONITOR
TIXIE BAY  STANDARD PRESSURE    1007.8  MB     COEFFICIENT   -0.72     % / MB
TIXIE BAY  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
TIXIE BAY  PRE-INCREASE AVERAGE COUNTING RATE    134.42      COUNTS PER SECOND
TIXIE BAY  TIME INTERVALS    300         3600     
TIXIE BAY  SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
TIXIE BAY  000714 300  181000-181500   00     136.33 1008.6    137.17     2.00     0.95
TIXIE BAY  000714 300  181500-182000   00     136.67 1008.6    137.49     2.30     1.24
TIXIE BAY  000714 300  182000-182500   00     137.00 1008.6    137.81     2.50     1.44
TIXIE BAY  000714 300  182500-183000   00     136.67 1008.6    137.46     2.30     1.24
TIXIE BAY  000714 300  183000-183500   00     135.00 1008.6    135.78     1.00    -0.07
TIXIE BAY  000714 300  183500-184000   00     137.67 1008.6    138.46     3.00     1.93
TIXIE BAY  000714 300  184000-184500   00     136.33 1008.6    137.11     2.00     0.93
TIXIE BAY  000714 300  184500-185000   00     137.00 1008.6    137.78     2.50     1.42
TIXIE BAY  000714 300  185000-185500   00     136.00 1008.6    136.78     1.80     0.72
TIXIE BAY  000714 300  185500-190000   00     138.00 1008.6    138.80     3.30     2.22
TIXIE BAY  000714 300  190000-190500   00     139.00 1008.7    139.89     4.10     3.01
TIXIE BAY  000714 300  190500-191000   00     136.00 1008.7    136.87     1.80     0.71
TIXIE BAY  000714 300  191000-191500   00     136.67 1008.7    137.55     2.30     1.21
TIXIE BAY  000714 300  191500-192000   00     134.67 1008.7    135.54     0.80    -0.29
TIXIE BAY  000714 300  192000-192500   00     135.67 1008.7    136.55     1.60     0.50
TIXIE BAY  000714 300  192500-193000   00     138.00 1008.7    138.90     3.30     2.20
TIXIE BAY  000714 300  193000-193500   00     134.00 1008.7    134.87     0.30    -0.80
TIXIE BAY  000714 300  193500-194000   00     135.67 1008.7    136.55     1.60     0.50
TIXIE BAY  000714 300  194000-194500   00     135.33 1008.7    136.21     1.30     0.20
TIXIE BAY  000714 300  194500-195000   00     134.33 1008.7    135.20     0.60    -0.50
TIXIE BAY  000714 300  195000-195500   00     136.33 1008.7    137.21     2.10     0.99
TIXIE BAY  000714 300  195500-200000   00     137.00 1008.7    137.87     2.60     1.49
TIXIE BAY  000714 300  200000-200500   00     135.33 1008.6    136.14     1.30     0.19
TIXIE BAY  000714 300  200500-201000   00     136.00 1008.6    136.80     1.80     0.69
TIXIE BAY  000714 300  201000-201500   00     135.00 1008.6    135.79     1.00    -0.11
