POTCHEFSTR LATITUDE    -26.68    LONGITUDE     27.92     ALTITUDE    1351 M
POTCHEFSTR INSTRUMENT   12IGY    NEUTRON MONITOR     
POTCHEFSTR STANDARD PRESSURE    660     MMHG   COEFFICIENT   0.99      % / MMHG
POTCHEFSTR PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
POTCHEFSTR PRE-INCREASE AVERAGE COUNTING RATE     49.61      COUNTS PER SECOND
POTCHEFSTR TIME INTERVALS    300         3600     
POTCHEFSTR SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
POTCHEFSTR 010415 300  183500-184000   00      53.12  653.6     49.86     0.50    -9999
POTCHEFSTR 010415 300  184000-184500   00      51.13  653.6     47.99    -3.30    -9999
POTCHEFSTR 010415 300  184500-185000   00      52.75  653.7     49.54    -0.10    -9999
POTCHEFSTR 010415 300  185000-185500   00      52.56  653.7     49.38    -0.50    -9999
POTCHEFSTR 010415 300  185500-190000   00      52.40  653.8     49.27    -0.70    -9999
POTCHEFSTR 010415 300  190000-190500   00      51.31  653.8     48.25    -2.70    -9999
POTCHEFSTR 010415 300  190500-191000   00      51.46  653.8     48.40    -2.40    -9999
POTCHEFSTR 010415 300  191000-191500   00      51.73  653.8     48.67    -1.90    -9999
POTCHEFSTR 010415 300  191500-192000   00      51.65  653.9     48.60    -2.00    -9999
POTCHEFSTR 010415 300  192000-192500   00      52.12  653.8     49.03    -1.20    -9999
POTCHEFSTR 010415 300  192500-193000   00      52.75  653.9     49.64     0.10    -9999
POTCHEFSTR 010415 300  193000-193500   00      52.69  653.8     49.55    -0.10    -9999
POTCHEFSTR 010415 300  193500-194000   00      52.37  653.8     49.26    -0.70    -9999
POTCHEFSTR 010415 300  194000-194500   00      52.07  653.9     49.00    -1.20    -9999
POTCHEFSTR 010415 300  194500-195000   00      52.14  653.8     49.03    -1.20    -9999
POTCHEFSTR 010415 300  195000-195500   00      52.45  653.8     49.33    -0.60    -9999
POTCHEFSTR 010415 300  195500-200000   00      52.81  653.7     49.63     0.00    -9999
POTCHEFSTR 010415 3600 200000-210000   00      51.96  653.6     48.77    -1.70    -9999
POTCHEFSTR 010415 3600 210000-220000   00      52.49  653.5     49.22    -0.80    -9999
POTCHEFSTR 010415 3600 220000-230000   00      52.38  653.2     48.99    -1.20    -9999
POTCHEFSTR 010415 3600 230000-240000   00      52.40  653.0     48.91    -1.40    -9999
POTCHEFSTR 010416 3600 000000-010000   00      52.99  652.7     49.30    -0.60    -9999
POTCHEFSTR 010416 3600 010000-020000   00      53.33  652.4     49.45    -0.30    -9999
POTCHEFSTR 010416 3600 020000-030000   00      53.40  652.1     49.40    -0.40    -9999
POTCHEFSTR 010416 3600 030000-040000   00      53.20  652.4     49.36    -0.50    -9999
POTCHEFSTR 010416 3600 040000-050000   00      53.02  652.7     49.33    -0.60    -9999
POTCHEFSTR 010416 3600 050000-060000   00      52.83  653.1     49.34    -0.50    -9999
POTCHEFSTR 010416 3600 060000-070000   00      52.64  653.4     49.30    -0.60    -9999
POTCHEFSTR 010416 3600 070000-080000   00      52.85  653.4     49.51    -0.20    -9999
POTCHEFSTR 010416 3600 080000-090000   00      52.67  653.3     49.29    -0.60    -9999
POTCHEFSTR 010416 3600 090000-100000   00      53.52  653.2     50.02     0.80    -9999
POTCHEFSTR 010416 3600 100000-110000   00      53.26  652.9     49.62     0.00    -9999
POTCHEFSTR 010416 3600 110000-120000   00      53.96  652.3     49.98     0.70    -9999
POTCHEFSTR 010416 3600 120000-130000   00      54.28  651.6     49.95     0.70    -9999
POTCHEFSTR 010416 3600 130000-140000   00      54.45  651.5     50.04     0.90    -9999
POTCHEFSTR 010416 3600 140000-150000   00      54.20  652.0     50.06     0.90    -9999
POTCHEFSTR 010416 3600 150000-160000   00      53.68  652.1     49.66     0.10    -9999
POTCHEFSTR 010416 3600 160000-170000   00      53.81  652.2     49.79     0.40    -9999
POTCHEFSTR 010416 3600 170000-180000   00      53.96  652.2     49.96     0.70    -9999
POTCHEFSTR 010416 3600 180000-190000   00      53.65  652.7     49.93     0.60    -9999
POTCHEFSTR 010416 3600 190000-200000   00      53.17  653.0     49.61     0.00    -9999
POTCHEFSTR 010416 3600 200000-210000   00      52.87  653.3     49.46    -0.30    -9999
POTCHEFSTR 010416 3600 210000-220000   00      53.22  653.8     50.04     0.90    -9999
POTCHEFSTR 010416 3600 220000-230000   00      52.72  653.8     49.55    -0.10    -9999
POTCHEFSTR 010416 3600 230000-240000   00      53.43  653.2     49.96     0.70    -9999
*
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060PTFM.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
