SOUTH POLE LATITUDE    -90       LONGITUDE     0         ALTITUDE    2820 M
SOUTH POLE INSTRUMENT   3NM64    NEUTRON MONITOR     	
SOUTH POLE STANDARD PRESSURE    676.4   MB     COEFFICIENT   -0.75     % / MB
SOUTH POLE PRE-INCREASE BASELINE TIME INTERVAL    010415    120000-130000   UT
SOUTH POLE PRE-INCREASE AVERAGE COUNTING RATE    250.08      COUNTS PER SECOND
SOUTH POLE TIME INTERVALS    300         3600     
SOUTH POLE SCALE FACTORS     1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S     (MB)      C/S
SOUTH POLE 010415 300  160500-161000   00     454.86  675.6    452.27    80.80    79.91
SOUTH POLE 010415 300  161000-161500   00     443.10  675.6    440.54    76.20    75.29
SOUTH POLE 010415 300  161500-162000   00     432.84  675.6    430.32    72.10    71.17
SOUTH POLE 010415 300  162000-162500   00     422.42  675.6    419.93    67.90    66.95
SOUTH POLE 010415 300  162500-163000   00     409.46  675.6    407.02    62.80    61.83
SOUTH POLE 010415 300  163000-163500   00     399.06  675.6    396.67    58.60    57.61
SOUTH POLE 010415 300  163500-164000   00     391.06  675.6    388.70    55.40    54.39
SOUTH POLE 010415 300  164000-164500   00     384.06  675.6    381.73    52.60    51.57
SOUTH POLE 010415 300  164500-165000   00     378.23  675.6    375.93    50.30    49.25
SOUTH POLE 010415 300  165000-165500   00     371.80  675.6    369.54    47.80    46.73
SOUTH POLE 010415 300  165500-170000   00     366.54  675.6    364.31    45.70    44.61
SOUTH POLE 010415 300  170000-170500   00     363.18  675.6    361.05    44.40    43.29
SOUTH POLE 010415 300  170500-171000   00     352.71  675.6    350.64    40.20    39.07
SOUTH POLE 010415 300  171000-171500   00     347.61  675.6    345.57    38.20    37.05
SOUTH POLE 010415 300  171500-172000   00     334.89  675.6    332.92    33.10    31.93
SOUTH POLE 010415 300  172000-172500   00     329.26  675.6    327.31    30.90    29.71
SOUTH POLE 010415 300  172500-173000   00     322.20  675.6    320.28    28.10    26.89
SOUTH POLE 010415 300  173000-173500   00     317.58  675.6    315.67    26.20    24.97
SOUTH POLE 010415 300  173500-174000   00     318.27  675.6    316.35    26.50    25.26
SOUTH POLE 010415 300  174000-174500   00     313.07  675.6    311.17    24.40    23.14
SOUTH POLE 010415 300  174500-175000   00     308.91  675.6    307.01    22.80    21.52
SOUTH POLE 010415 300  175000-175500   00     309.51  675.6    307.59    23.00    21.70
SOUTH POLE 010415 300  175500-180000   00     308.01  675.6    306.08    22.40    21.08
SOUTH POLE 010415 300  180000-180500   00     303.00  675.5    301.08    20.40    19.06
SOUTH POLE 010415 300  180500-181000   00     303.49  675.5    301.54    20.60    19.24
SOUTH POLE 010415 300  181000-181500   00     303.02  675.5    301.04    20.40    19.02
SOUTH POLE 010415 300  181500-182000   00     301.09  675.5    299.09    19.60    18.21
SOUTH POLE 010415 300  182000-182500   00     302.98  675.5    300.93    20.30    18.89
SOUTH POLE 010415 300  182500-183000   00     300.57  675.5    298.50    19.40    17.97
SOUTH POLE 010415 300  183000-183500   00     300.52  675.5    298.42    19.30    17.85
SOUTH POLE 010415 300  183500-184000   00     298.88  675.4    296.75    18.60    17.13
SOUTH POLE 010415 300  184000-184500   00     300.28  675.4    298.10    19.20    17.71
SOUTH POLE 010415 300  184500-185000   00     297.88  675.4    295.68    18.20    16.70
SOUTH POLE 010415 300  185000-185500   00     299.77  675.4    297.51    19.00    17.48
SOUTH POLE 010415 300  185500-190000   00     296.13  675.4    293.85    17.50    15.96
SOUTH POLE 010415 300  190000-190500   00     295.98  675.3    293.61    17.40    15.84
SOUTH POLE 010415 300  190500-191000   00     297.34  675.3    294.92    17.90    16.33
SOUTH POLE 010415 300  191000-191500   00     291.58  675.3    289.15    15.70    14.11
SOUTH POLE 010415 300  191500-192000   00     292.89  675.3    290.41    16.10    14.49
SOUTH POLE 010415 300  192000-192500   00     290.77  675.2    288.26    15.30    13.67
SOUTH POLE 010415 300  192500-193000   00     289.18  675.2    286.64    14.60    12.96
SOUTH POLE 010415 300  193000-193500   00     292.97  675.2    290.34    16.10    14.44
SOUTH POLE 010415 300  193500-194000   00     288.71  675.2    286.07    14.40    12.72
SOUTH POLE 010415 300  194000-194500   00     288.12  675.2    285.44    14.10    12.40
SOUTH POLE 010415 300  194500-195000   00     284.77  675.1    282.07    12.80    11.09
SOUTH POLE 010415 300  195000-195500   00     284.28  675.1    281.55    12.60    10.87
SOUTH POLE 010415 300  195500-200000   00     283.65  675.1    280.87    12.30    10.55
SOUTH POLE 010415 300  200000-200500   00     283.73  675.0    280.87    12.30    10.54
SOUTH POLE 010415 300  200500-201000   00     285.06  675.0    282.14    12.80    11.02
SOUTH POLE 010415 300  201000-201500   00     282.57  675.0    279.63    11.80    10.00
SOUTH POLE 010415 300  201500-202000   00     280.60  675.0    277.64    11.00     9.19
SOUTH POLE 010415 300  202000-202500   00     281.59  675.0    278.58    11.40     9.57
SOUTH POLE 010415 300  202500-203000   00     278.92  674.9    275.90    10.30     8.45
SOUTH POLE 010415 300  203000-203500   00     280.31  674.9    277.24    10.80     8.94
SOUTH POLE 010415 300  203500-204000   00     280.27  674.9    277.17    10.80     8.92
SOUTH POLE 010415 300  204000-204500   00     278.97  674.9    275.85    10.30     8.40
SOUTH POLE 010415 300  204500-205000   00     279.01  674.9    275.86    10.30     8.39
SOUTH POLE 010415 300  205000-205500   00     277.31  674.9    274.15     9.60     7.67
SOUTH POLE 010415 300  205500-210000   00     278.18  674.9    274.99    10.00     8.05
SOUTH POLE 010415 300  210000-210500   00     279.80  674.8    276.56    10.60     8.64
SOUTH POLE 010415 300  210500-211000   00     279.76  674.8    276.50    10.60     8.62
SOUTH POLE 010415 300  211000-211500   00     279.43  674.8    276.16    10.40     8.41
SOUTH POLE 010415 300  211500-212000   00     277.63  674.8    274.36     9.70     7.69
SOUTH POLE 010415 300  212000-212500   00     276.64  674.8    273.36     9.30     7.28
SOUTH POLE 010415 300  212500-213000   00     277.64  674.8    274.34     9.70     7.66
SOUTH POLE 010415 300  213000-213500   00     276.47  674.8    273.17     9.20     7.14
SOUTH POLE 010415 300  213500-214000   00     276.98  674.8    273.66     9.40     7.33
SOUTH POLE 010415 300  214000-214500   00     274.51  674.8    271.22     8.50     6.41
SOUTH POLE 010415 300  214500-215000   00     278.79  674.8    275.44    10.20     8.10
SOUTH POLE 010415 300  215000-215500   00     276.97  674.8    273.63     9.40     7.28
SOUTH POLE 010415 300  215500-220000   00     275.69  674.8    272.37     8.90     6.77
SOUTH POLE 010415 300  220000-220500   00     274.98  674.8    271.77     8.70     6.55
SOUTH POLE 010415 300  220500-221000   00     274.02  674.8    270.82     8.30     6.14
SOUTH POLE 010415 300  221000-221500   00     273.75  674.8    270.55     8.20     6.02
SOUTH POLE 010415 300  221500-222000   00     271.95  674.8    268.75     7.40     5.21
SOUTH POLE 010415 300  222000-222500   00     273.12  674.8    269.90     7.90     5.69
SOUTH POLE 010415 300  222500-223000   00     273.65  674.8    270.41     8.10     5.88
SOUTH POLE 010415 300  223000-223500   00     274.06  674.8    270.79     8.30     6.06
SOUTH POLE 010415 300  223500-224000   00     273.61  674.8    270.32     8.10     5.85
SOUTH POLE 010415 300  224000-224500   00     272.58  674.8    269.28     7.70     5.44
SOUTH POLE 010415 300  224500-225000   00     272.48  674.8    269.14     7.60     5.32
SOUTH POLE 010415 300  225000-225500   00     272.70  674.7    269.32     7.70     5.41
SOUTH POLE 010415 300  225500-230000   00     273.11  674.7    269.69     7.80     5.49
SOUTH POLE 010415 300  230000-230500   00     272.39  674.6    268.84     7.50     5.18
SOUTH POLE 010415 300  230500-231000   00     271.60  674.6    268.02     7.20     4.86
SOUTH POLE 010415 300  231000-231500   00     272.61  674.6    268.97     7.60     5.25
SOUTH POLE 010415 300  231500-232000   00     273.58  674.6    269.88     7.90     5.54
SOUTH POLE 010415 300  232000-232500   00     272.91  674.6    269.19     7.60     5.22
SOUTH POLE 010415 300  232500-233000   00     272.60  674.5    268.85     7.50     5.11
SOUTH POLE 010415 300  233000-233500   00     272.71  674.5    268.92     7.50     5.10
SOUTH POLE 010415 300  233500-234000   00     271.75  674.5    267.94     7.10     4.68
SOUTH POLE 010415 300  234000-234500   00     271.48  674.5    267.64     7.00     4.57
SOUTH POLE 010415 300  234500-235000   00     272.04  674.5    268.17     7.20     4.76
SOUTH POLE 010415 300  235000-235500   00     269.95  674.5    266.08     6.40     3.94
SOUTH POLE 010415 300  235500-240000   00     268.87  674.5    264.99     6.00     3.53
SOUTH POLE 010416 3600 000000-010000   00     270.11  674.4    266.09     6.40     3.84
SOUTH POLE 010416 3600 010000-020000   00     268.36  674.3    264.10     5.60     2.89
SOUTH POLE 010416 3600 020000-030000   00     268.14  674.0    263.36     5.30     2.45
SOUTH POLE 010416 3600 030000-040000   00     266.97  673.7    261.69     4.60     1.63
SOUTH POLE 010416 3600 040000-050000   00     267.03  673.7    261.74     4.70     1.62
SOUTH POLE 010416 3600 050000-060000   00     267.42  673.5    261.60     4.60     1.41
SOUTH POLE 010416 3600 060000-070000   00     266.83  673.3    260.77     4.30     1.02
SOUTH POLE 010416 3600 070000-080000   00     266.42  673.5    260.62     4.20     0.84
SOUTH POLE 010416 3600 080000-090000   00     266.86  673.3    260.79     4.30     0.87
SOUTH POLE 010416 3600 090000-100000   00     266.42  673.2    260.10     4.00     0.51
SOUTH POLE 010416 3600 100000-110000   00     265.89  673.2    259.58     3.80     0.26
SOUTH POLE 010416 3600 110000-120000   00     265.28  673.2    258.99     3.60     0.03
SOUTH POLE 010416 3600 120000-130000   00     265.47  673.1    258.92     3.50    -0.10
SOUTH POLE 010416 3600 130000-140000   00     266.47  672.9    259.63     3.80    -9999
SOUTH POLE 010416 3600 140000-150000   00     265.81  672.8    258.72     3.50    -9999
SOUTH POLE 010416 3600 150000-160000   00     265.69  672.9    258.88     3.50    -9999
SOUTH POLE 010416 3600 160000-170000   00     266.22  672.9    259.39     3.70    -9999
SOUTH POLE 010416 3600 170000-180000   00     265.61  672.7    258.28     3.30    -9999
SOUTH POLE 010416 3600 180000-190000   00     266.50  672.7    259.14     3.60    -9999
SOUTH POLE 010416 3600 190000-200000   00     266.08  672.7    258.74     3.50    -9999
SOUTH POLE 010416 3600 200000-210000   00     265.94  672.8    258.86     3.50    -9999
SOUTH POLE 010416 3600 210000-220000   00     266.94  672.8    259.83     3.90    -9999
SOUTH POLE 010416 3600 220000-230000   00     266.14  672.8    259.05     3.60    -9999
SOUTH POLE 010416 3600 230000-240000   00     265.42  673.1    258.86     3.50    -9999
*
*	
COMMENT UNIVERISTY OF OULU: FILE GENERATED FROM DATABASE AND OBTAINED FROM
COMMENT https://gle.oulu.fi at 2023-04-05 10:02:56 +00:00
COMMENT FOR HISTORICAL/ORIGINAL TEXT FILES SEE https://gle.oulu.fi/txtarchive/
COMMENT ORIGINAL AT https://gle.oulu.fi/txtarchive/GLE60/C060SOPO_cor.DAT
COMMENT DETRENDED DATA SHOW -9999 IF EQUAL TO INC% COLUMN 
