JUNGFRAUJ  LATITUDE    46.55     LONGITUDE     7.98      ALTITUDE    3550 M
JUNGFRAUJ  INSTRUMENT   IGY     NEUTRON MONITOR
JUNGFRAUJ  STANDARD PRESSURE    482     MMHG   COEFFICIENT   -0.96     % / MMHG
JUNGFRAUJ  PRE-INCREASE BASELINE TIME INTERVAL    000714    090000-100000   UT
JUNGFRAUJ  PRE-INCREASE AVERAGE COUNTING RATE    131.87      COUNTS PER SECOND
JUNGFRAUJ  TIME INTERVALS    60          300         3600     
JUNGFRAUJ  SCALE FACTORS     1           1           1        
STATION    YYMMDD  SEC   TIME (UT)   CODE    UNCORR. PRESS.    CORR.    % INC.	DETRENDED
                         INTERVAL    TD      C/S    (MMHG)     C/S
JUNGFRAUJ  000714 60   121100-121200   30     125.47  489.2    134.45     2.00    -9999
JUNGFRAUJ  000714 60   121200-121300   30     126.62  489.2    135.68     2.90    -9999
JUNGFRAUJ  000714 60   121300-121400   30     123.27  488.9    131.70    -0.10    -9999
JUNGFRAUJ  000714 60   121400-121500   30     125.85  489.1    134.73     2.20    -9999
JUNGFRAUJ  000714 60   121500-121600   30     120.23  489.2    128.83    -2.30    -9999
JUNGFRAUJ  000714 60   121600-121700   30     122.90  489.1    131.57    -0.20    -9999
JUNGFRAUJ  000714 60   121700-121800   30     123.02  489.2    131.83     0.00    -9999
JUNGFRAUJ  000714 60   121800-121900   30     123.97  489.3    132.97     0.80    -9999
JUNGFRAUJ  000714 60   121900-122000   30     122.13  489.3    131.00    -0.70    -9999
JUNGFRAUJ  000714 60   122000-122100   30     125.50  489.2    134.48     2.00    -9999
JUNGFRAUJ  000714 60   122100-122200   30     122.90  489.2    131.70    -0.10    -9999
JUNGFRAUJ  000714 60   122200-122300   30     126.08  489.0    134.83     2.20    -9999
JUNGFRAUJ  000714 60   122300-122400   30     124.20  489.1    132.97     0.80    -9999
JUNGFRAUJ  000714 60   122400-122500   30     124.85  489.5    134.18     1.80    -9999
JUNGFRAUJ  000714 60   122500-122600   30     121.65  489.0    130.10    -1.30    -9999
JUNGFRAUJ  000714 60   122600-122700   30     122.68  489.1    131.35    -0.40    -9999
JUNGFRAUJ  000714 60   122700-122800   30     122.90  489.0    131.43    -0.30    -9999
JUNGFRAUJ  000714 60   122800-122900   30     124.48  489.0    133.13     1.00    -9999
JUNGFRAUJ  000714 60   122900-123000   30     122.77  489.2    131.55    -0.20    -9999
JUNGFRAUJ  000714 60   123000-123100   30     125.38  489.2    134.37     1.90    -9999
JUNGFRAUJ  000714 60   123100-123200   30     122.52  489.0    131.03    -0.60    -9999
JUNGFRAUJ  000714 60   123200-123300   30     123.43  489.1    132.15     0.20    -9999
JUNGFRAUJ  000714 60   123300-123400   30     124.32  489.0    132.97     0.80    -9999
JUNGFRAUJ  000714 60   123400-123500   30     123.58  489.1    132.30     0.30    -9999
JUNGFRAUJ  000714 60   123500-123600   30     122.65  489.0    131.17    -0.50    -9999
JUNGFRAUJ  000714 60   123600-123700   30     123.05  489.0    131.62    -0.20    -9999
JUNGFRAUJ  000714 60   123700-123800   30     126.00  488.7    134.37     1.90    -9999
JUNGFRAUJ  000714 60   123800-123900   30     123.57  489.1    132.28     0.30    -9999
JUNGFRAUJ  000714 60   123900-124000   30     121.47  489.0    129.90    -1.50    -9999
JUNGFRAUJ  000714 60   124000-124100   30     126.87  489.1    135.82     3.00    -9999
JUNGFRAUJ  000714 60   124100-124200   30     124.17  489.1    132.92     0.80    -9999
JUNGFRAUJ  000714 60   124200-124300   30     123.60  489.0    132.20     0.30    -9999
JUNGFRAUJ  000714 60   124300-124400   30     124.48  489.0    133.13     1.00    -9999
JUNGFRAUJ  000714 60   124400-124500   30     121.47  488.7    129.55    -1.80    -9999
JUNGFRAUJ  000714 60   124500-124600   30     124.72  488.9    133.25     1.00    -9999
JUNGFRAUJ  000714 60   124600-124700   30     122.18  489.0    130.68    -0.90    -9999
JUNGFRAUJ  000714 60   124700-124800   30     122.80  488.9    131.22    -0.50    -9999
JUNGFRAUJ  000714 60   124800-124900   30     122.07  488.9    130.42    -1.10    -9999
JUNGFRAUJ  000714 60   124900-125000   30     122.40  488.9    130.78    -0.80    -9999
JUNGFRAUJ  000714 60   125000-125100   30     120.73  488.8    128.88    -2.30    -9999
JUNGFRAUJ  000714 60   125100-125200   30     124.37  488.8    132.75     0.70    -9999
JUNGFRAUJ  000714 60   125200-125300   30     123.63  489.0    132.23     0.30    -9999
JUNGFRAUJ  000714 60   125300-125400   30     120.83  488.9    129.10    -2.10    -9999
