,Rigidity,initialLatitude,initialLongitude,Filter,Lat,Long,Xpla,Ypla,Zpla,initialZenith,initialAzimuth,THETApla,PHIpla,angleDiffRad,weightingFactor,Rlower,Reffective,Rupper,angleBetweenIMFinRadians,PitchAngleWeightingFactor,RigidityWeightingFactor,fullRigidityPitchWeightingFactor,Energy,fullEnergyPitchWeightingFactor
67,6.9,65.02,25.5,1.0,25.21587354,62.58916151,6.70856188,9.4403724,7.18054363,0.0,0.0,58.20049240645372,54.601458130925366,0.5821111980382325,0.9184811007646324,0.8,0.8,0.8,0.8187316124005479,0.2303816570294117,4.0996655200006566e-05,9.444877357640962e-06,6025.229510039702,9.531799793813319e-09
68,7.0,65.02,25.5,1.0,25.60529734,62.2548699,6.73856272,9.38619404,7.24066661,0.0,0.0,57.92677659309337,54.3245716354675,0.5706328812591727,0.9091613435600775,0.8,0.8,0.8,0.8250056227582797,0.22676327649651726,3.385032989580338e-05,7.676011717660387e-06,6124.330442640929,7.744659969385961e-09
69,7.1,65.02,25.5,1.0,25.96406958,61.91881894,6.76961886,9.33433999,7.29487572,0.0,0.0,57.68064394400816,54.04894770882857,0.5601518874528714,0.9002327500382499,0.8,0.8,0.8,0.8307920850368171,0.22351574598016083,2.7947434737441923e-05,6.246691723571192e-06,6223.456369972265,6.301001392617567e-09
70,7.2,65.02,25.5,1.0,26.29318582,61.58371063,6.80130187,9.28501085,7.3434855,0.0,0.0,57.46067585702713,53.77709742523658,0.5506259548636987,0.8917745229250871,0.8,0.8,0.8,0.8361099575012385,0.2206067298673113,2.3071840652394308e-05,5.089803318344402e-06,6322.606268345321,5.132839271447997e-09
71,7.3,65.02,25.5,1.0,26.59385321,61.25198788,6.83322299,9.23835724,7.38683366,0.0,0.0,57.26532640268638,53.511230005743485,0.5420072732778181,0.8838428643993517,0.8,0.8,0.8,0.8409805434397738,0.21800557477471913,1.9044986266987722e-05,4.151913177711291e-06,6421.779168992578,4.18606764442959e-09
72,7.4,65.02,25.5,1.0,26.86747011,60.92583144,6.86503108,9.19448204,7.42527814,0.0,0.0,57.09293731381253,53.25325793508321,0.5342430858959153,0.8764726738215497,0.8,0.8,0.8,0.8454273522535336,0.2156832615140419,1.5719338837934435e-05,3.3903982694100484e-06,6520.974154447834,3.4175426422928023e-09
73,7.5,65.02,25.5,1.0,27.11554725,60.6071643,6.89641308,9.15344917,7.45918284,0.0,0.0,56.94180803546126,53.004813611470595,0.5272782207394132,0.8696813667703601,0.8,0.8,0.8,0.8494749392873852,0.2136128381926985,1.2972996933007474e-05,2.7711986947248992e-06,6620.190355208022,2.7928001677260402e-09
74,7.6,65.02,25.5,1.0,27.33969686,60.29764104,6.92709402,9.11528436,7.48891615,0.0,0.0,56.810205128016456,52.76724627003266,0.5210554104458922,0.8634708454963964,0.8,0.8,0.8,0.8531489023053365,0.211769195647529,1.0705234447756212e-05,2.2670388882195523e-06,6719.4269466513515,2.284250198265483e-09
75,7.7,65.02,25.5,1.0,27.541569,59.99867765,6.95683337,9.07998431,7.51484093,0.0,0.0,56.696411676565916,52.54166056620503,0.5155171947599354,0.857831053673017,0.8,0.8,0.8,0.8564749747360865,0.21012928790869861,8.83282100594765e-06,1.8560343882047748e-06,6818.683146189139,1.8697630731459496e-09
76,7.8,65.02,25.5,1.0,27.70071498,59.74632058,7.03005183,9.12397562,7.58381758,0.0,0.0,56.6382416317998,52.385635707340256,0.511628532501693,0.8538081360809817,0.8,0.8,0.8,0.8591106912265218,0.20884936939488483,7.286982907143731e-06,1.5218817849482728e-06,6917.958210631035,1.53285305006466e-09
