,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
67,-90.0,335.0,15.24,10.182800923901047,10.450449328322376,6.359211684053369,4.353814929060635,2.7220003950343608,1.7829243905616647,2.722000395034361e-13,2.722000395034361e-08,2012-05-17 03:20:00+00:00
68,-90.0,340.0,15.24,10.182800913667764,10.450449317927,6.359211676388785,4.35381492518665,2.72200039260201,1.7829243889662527,2.7220003926020103e-13,2.72200039260201e-08,2012-05-17 03:20:00+00:00
69,-90.0,345.0,15.24,10.182800916531654,10.450449319597398,6.359211678701939,4.353814925360022,2.7220003927264713,1.78292438906685,2.7220003927264716e-13,2.7220003927264715e-08,2012-05-17 03:20:00+00:00
70,-90.0,350.0,15.24,10.182800913383732,10.450449316299709,6.359211677054166,4.353814923897884,2.7220003918264424,1.782924388488557,2.7220003918264426e-13,2.7220003918264424e-08,2012-05-17 03:20:00+00:00
71,-90.0,355.0,15.24,10.182800912477985,10.450449317240178,6.359211676635628,4.353814924760244,2.722000392347447,1.7829243888039379,2.7220003923474473e-13,2.722000392347447e-08,2012-05-17 03:20:00+00:00
72,-85.0,0.0,15.24,10.844324099330526,11.135272285279433,6.774428506540947,4.639941609801262,2.9008152820351847,1.8999539693240195,2.900815282035185e-13,2.900815282035185e-08,2012-05-17 03:20:00+00:00
73,-85.0,5.0,15.24,10.890150824710764,11.180704739525126,6.802784009544626,4.658523016494876,2.9124467310192697,1.9075945672181112,2.9124467310192695e-13,2.9124467310192697e-08,2012-05-17 03:20:00+00:00
74,-85.0,10.0,15.24,10.931457446743044,11.221377745807274,6.828272139933477,4.675103816219796,2.9228283393285626,1.9144181184087958,2.9228283393285627e-13,2.9228283393285626e-08,2012-05-17 03:20:00+00:00
75,-85.0,15.0,15.24,10.967906744102313,11.256938993723299,6.8506782099224575,4.689536340971704,2.93186758680657,1.9203639246877298,2.9318675868065703e-13,2.93186758680657e-08,2012-05-17 03:20:00+00:00
76,-85.0,20.0,15.24,10.999196900107698,11.287017883241218,6.869803167343037,4.7016546542600395,2.939461611614764,1.925365787579844,2.939461611614764e-13,2.939461611614764e-08,2012-05-17 03:20:00+00:00
77,-85.0,25.0,15.24,11.02528051542095,11.311614960980421,6.885611674130286,4.711472756707175,2.945618136836274,1.9294276642860722,2.945618136836274e-13,2.945618136836274e-08,2012-05-17 03:20:00+00:00
78,-85.0,30.0,15.24,11.045775265071384,11.330375738053448,6.897891119141825,4.718844670487972,2.9502459421278386,1.9324893833834125,2.950245942127839e-13,2.9502459421278387e-08,2012-05-17 03:20:00+00:00
