,,latitude,longitude,altitude (km),edose,adose,dosee,tn1,tn2,tn3,SEU,SEL,datetime
5,0,90.0,0.0,0.0,0.004793074812468188,0.006783720466845225,0.0005353448971813658,0.003353606915777456,0.001955929974354043,0.0012609799234216243,1.9559299743540431e-16,1.9559299743540433e-11,2012-05-17 02:20:00+00:00
5,1,90.0,0.0,2.0,0.03393586203957952,0.04735389838176672,0.009161678166540725,0.023438217177451225,0.014759796286333695,0.009569040114935857,1.4759796286333695e-15,1.4759796286333695e-10,2012-05-17 02:20:00+00:00
5,2,90.0,0.0,5.0,0.37570609495348317,0.5060379565371952,0.21623566714133038,0.24969379435338898,0.16073113688451926,0.1068562749552353,1.6073113688451927e-14,1.6073113688451926e-09,2012-05-17 02:20:00+00:00
5,3,90.0,0.0,12.0,13.53064015651263,15.564050044668294,8.673685735690599,7.109042622190513,4.533663034363182,3.025345121556508,4.5336630343631824e-13,4.533663034363182e-08,2012-05-17 02:20:00+00:00
5,4,90.0,0.0,20.0,210.2269805797183,131.07515484234744,124.54103031746217,31.427624494055962,19.153247669897564,12.454156357666225,1.9153247669897565e-12,1.9153247669897564e-07,2012-05-17 02:20:00+00:00
6,0,90.0,0.0,0.0,0.0048913245902415916,0.006895551229865123,0.0005826378861170924,0.0034007154565160866,0.001991945832592502,0.0012870367866178723,1.9919458325925022e-16,1.991945832592502e-11,2012-05-17 02:25:00+00:00
6,1,90.0,0.0,2.0,0.03430385620049896,0.047578371955379097,0.00978559993658937,0.02352804989908201,0.014847369009861283,0.009647677866884611,1.4847369009861283e-15,1.4847369009861283e-10,2012-05-17 02:25:00+00:00
6,2,90.0,0.0,5.0,0.37602668529813305,0.5032677113819493,0.21890100849992453,0.24785731918513734,0.1595991471450799,0.10624577598146599,1.595991471450799e-14,1.595991471450799e-09,2012-05-17 02:25:00+00:00
6,3,90.0,0.0,12.0,13.360022881144145,15.197720527610398,8.523705032227157,6.910629602932486,4.408195859456579,2.944392100127229,4.408195859456579e-13,4.408195859456579e-08,2012-05-17 02:25:00+00:00
6,4,90.0,0.0,20.0,201.24666824162196,125.51534784385956,119.08428153025066,30.159427097076264,18.38730002412044,11.964413086872884,1.838730002412044e-12,1.8387300024120438e-07,2012-05-17 02:25:00+00:00
7,0,90.0,0.0,0.0,0.003172220265344639,0.0044805999345785335,0.0003584321047552283,0.0022127203263911837,0.0012799352419793422,0.0008282525854172136,1.2799352419793422e-16,1.2799352419793422e-11,2012-05-17 02:30:00+00:00
